completed_at,exercise_title
2024-09-01T00:00:00.000Z,Adding categories
2024-10-18T00:00:00.000Z,Introduction to packages & documentation
2024-10-12T00:00:00.000Z,Creating and deleting resources using an API (1)
2024-10-03T00:00:00.000Z,Decoding the response
2024-09-26T00:00:00.000Z,Data preparation
2024-10-04T00:00:00.000Z,Handling exceptions
2024-10-13T00:00:00.000Z,Handling content-types errors
2024-10-13T00:00:00.000Z,API authentication methods
2024-09-05T00:00:00.000Z,Final thoughts on data import
2024-11-05T00:00:00.000Z,Inspect your clustering
2024-09-01T00:00:00.000Z,Creating a categorical pandas Series
2024-08-21T00:00:00.000Z,Saving a file several times (2)
2024-09-01T00:00:00.000Z,Accessing and filtering data (2)
2024-10-03T00:00:00.000Z,Keeping track of prompts
2024-10-18T00:00:00.000Z,Minimal package requirements
2024-09-02T00:00:00.000Z,Text summarization
2024-08-21T00:00:00.000Z,Save a figure with different sizes
2024-10-15T00:00:00.000Z,Implementing a summary memory
2024-10-12T00:00:00.000Z,Creating and deleting resources using an API
2024-09-25T00:00:00.000Z,Self-consistency prompts
2024-10-18T00:00:00.000Z,Adding functionality to packages
2024-06-10T00:00:00.000Z,Lambda functions
2024-07-15T00:00:00.000Z,The thousand faces of sustainable AI
2024-09-25T00:00:00.000Z,Writing improvement
2024-11-01T00:00:00.000Z,Trends with scatter plots
2024-09-01T00:00:00.000Z,Adding categories (3)
2024-09-01T00:00:00.000Z,Wrap-up video
2024-10-18T00:00:00.000Z,Using good variable names
2024-08-20T00:00:00.000Z,Creating a grid of subplots
2024-09-01T00:00:00.000Z,Setting dtypes and saving memory (4)
2024-10-13T00:00:00.000Z,Requesting JSON data from an API
2024-07-21T00:00:00.000Z,Create and set properties
2024-09-15T00:00:00.000Z,Creating a database engine in Python
2024-11-02T00:00:00.000Z,Pie plots
2024-09-10T00:00:00.000Z,Summarization
2024-09-02T00:00:00.000Z,Multi-turn chat completions with GPT
2024-09-10T00:00:00.000Z,Filtering out audio files (2)
2024-06-10T00:00:00.000Z,Default and flexible arguments
2024-10-04T00:00:00.000Z,Setting a specific function
2024-08-14T00:00:00.000Z,Crash Course in XPath
2024-09-26T00:00:00.000Z,Word embeddings over bag-of-words
2024-09-01T00:00:00.000Z,Reordering categories in a Series (3)
2024-10-18T00:00:00.000Z,Recognizing packages
2024-10-13T00:00:00.000Z,Response codes and APIs (1)
2024-09-01T00:00:00.000Z,Setting dtypes and saving memory
2024-04-08T00:00:00.000Z,What is Artificial Intelligence?
2024-08-15T00:00:00.000Z,Selecting from a Selection
2024-10-15T00:00:00.000Z,Preparing the documents and vector database
2024-10-04T00:00:00.000Z,Adding guardrails
2024-08-14T00:00:00.000Z,The rise of LLMs in the AI landscape
2024-08-28T00:00:00.000Z,CONTRIBUTING.md
2024-07-15T00:00:00.000Z,The AI and Internet-of-Things (IoT) symbiosis
2024-08-28T00:00:00.000Z,Package and module documentation
2024-10-04T00:00:00.000Z,Interpreting error messages
2024-08-13T00:00:00.000Z,Natural Language Processing
2024-10-13T00:00:00.000Z,Text similarity
2024-11-04T00:00:00.000Z,Level of abstraction
2024-11-02T00:00:00.000Z,What is cloud computing?
2024-08-21T00:00:00.000Z,Switching between styles (1)
2024-10-18T00:00:00.000Z,Identifying proper docstrings (2)
2024-04-27T00:00:00.000Z,Filters
2024-07-21T00:00:00.000Z,Congratulations!
2024-09-15T00:00:00.000Z,Creating a database engine
2024-06-15T00:00:00.000Z,Using %timeit: formal name or literal syntax (1)
2024-09-10T00:00:00.000Z,Generating text from a text prompt (2)
2024-07-20T00:00:00.000Z,Exploring object interface (1)
2024-09-25T00:00:00.000Z,Multi-step prompt to plan a trip
2024-10-18T00:00:00.000Z,Writing a class for your package (2)
2024-09-23T00:00:00.000Z,Combining Pokémon names and types
2024-11-01T00:00:00.000Z,Bar plots
2024-09-10T00:00:00.000Z,Semantic search
2024-09-01T00:00:00.000Z,Setting dtype when reading data
2024-10-12T00:00:00.000Z,Introduction to APIs
2024-11-01T00:00:00.000Z,Box plots
2024-10-18T00:00:00.000Z,Using inherited methods (3)
2024-09-01T00:00:00.000Z,Overcoming pitfalls: string issues (1)
2024-06-11T00:00:00.000Z,List comprehension over iterables
2024-10-18T00:00:00.000Z,Identifying proper docstrings (1)
2024-08-14T00:00:00.000Z,Attributes
2024-10-18T00:00:00.000Z,Writing a non-public method
2024-09-01T00:00:00.000Z,Setting dtypes and saving memory (3)
2024-07-26T00:00:00.000Z,Flipping out (1)
2024-08-17T00:00:00.000Z,Titular
2024-08-21T00:00:00.000Z,Quantitative comparisons: scatter plots
2024-09-10T00:00:00.000Z,Generating text from a text prompt (1)
2024-08-20T00:00:00.000Z,Customizing data appearance
2024-04-27T00:00:00.000Z,The underlying data and hierarchies
2024-10-18T00:00:00.000Z,Listing requirements in setup.py
2024-06-11T00:00:00.000Z,Writing an iterator to load data in chunks (2)
2024-09-02T00:00:00.000Z,What is the OpenAI API?
2024-09-25T00:00:00.000Z,Introduction to prompt engineering
2024-10-03T00:00:00.000Z,Testing
2024-09-01T00:00:00.000Z,Accessing and filtering data (1)
2024-07-20T00:00:00.000Z,Method inheritance
